trans_id,customer_id,amount,category,trans_date
47c5b37a-0618-4304-8dc0-15695a812939,25,78.91,Groceries,2023-05-29
46ad3989-8fd3-4a4f-a0d2-a5bc82edc06f,23,145.51,Dining,2023-09-05
2874b652-1742-4da1-a1f4-e4f8d921ed80,24,42.16,Utilities,2023-05-22
3580c82a-6a8e-4d42-9068-0f7b64d1fd47,43,342.01,Utilities,2023-02-05
3d2d233a-4c48-4a29-8972-1523ed3a912f,37,267.16,Retail,2023-06-06
57e6618c-1b85-4037-afae-abefb9852666,44,246.83,Retail,2023-05-29
847a3066-8690-4058-9257-20273ec5fc55,85,346.14,Groceries,2023-10-03
6607b04f-fe4d-4d9e-93b4-24e1acf250a6,90,29.76,Dining,2023-02-23
505919ca-0866-4063-b772-f264323d2a48,19,1209.98,Travel,2023-04-20
42e333dd-a5ff-4654-a0ce-ba1750d4c65d,65,1433.29,Travel,2023-06-23
4f25ff7b-fff6-46e5-b668-b3d485f137b6,38,151.2,Retail,2023-08-11
e8778b57-dd9a-4f3e-ae6c-c99901a2ddfb,35,357.65,Groceries,2023-06-12
5419c5bf-6e2c-4afd-942a-72cb0617d3e9,78,1195.09,Travel,2023-06-03
0b1312a6-f7c5-45c0-9750-8b09ccc1d42a,5,416.3,Dining,2023-04-28
26b86755-cc36-4d6a-9a82-c39c77bc53af,91,179.36,Utilities,2023-11-28
389e0177-fa4e-4e03-9a45-6c8ddb556607,33,430.91,Groceries,2023-06-20
a24f0223-1e87-4e8d-9774-2f4fe6ea8a64,96,386.45,Retail,2023-05-09
9b6fd91b-2516-4311-9247-6bdd29fb871b,61,467.69,Groceries,2023-09-23
b7630aa1-990a-45cf-8dd0-4cf9a142c813,41,279.99,Dining,2023-02-27
16dc5ef1-6a39-433d-9415-5625fc1045ce,100,1581.69,Travel,2023-09-30
4ffd1256-3e33-468c-aab2-e000c2a5ff70,49,40.28,Groceries,2023-08-13
03049f1a-e27f-4126-a4b0-b733aa968a1b,35,294.08,Travel,2023-04-21
3162f958-81b9-4d54-be3d-9c27b8102847,63,297.99,Dining,2023-08-20
48e24caa-4a79-4cb4-87c5-320f3b40dfc2,3,221.89,Retail,2023-09-27
9b0c374d-619b-4314-90a9-d374e8d65c5a,73,1273.82,Travel,2023-02-26
629419c8-8df0-4d17-8600-74f69d31e4a2,42,30.88,Utilities,2023-07-11
cdb5f08c-f377-4ab7-ae1e-882a6a6838b0,3,131.38,Groceries,2023-08-14
1b11e93e-cab7-4658-be19-0053cb8c31a9,12,345.97,Groceries,2023-12-17
28c3fc0d-954e-4edb-9176-865264bd98e3,89,131.85,Retail,2023-03-09
ad724d7c-e79b-4a9f-b927-5cd3a4efc582,55,434.26,Retail,2023-11-19
3cc217b2-873f-4f38-ae2d-b7511b320877,4,407.78,Groceries,2023-10-04
51784c2c-5932-4a6f-b59b-32ed149f1e33,80,449.7,Entertainment,2023-10-06
d2e892e9-0cc6-4018-92d5-b17262589bad,97,361.03,Retail,2023-09-12
b4aab0fb-d7f3-4db8-9e79-ec6924a80c9f,59,151.11,Groceries,2023-01-31
be8ef1ee-8e82-4288-9156-1c35d0a33e9e,65,394.5,Groceries,2023-12-24
22507b72-e53d-4747-83af-5bafd529d471,25,364.0,Retail,2023-03-17
b731d699-f1ce-4c6a-9136-492ce401ad09,29,329.14,Dining,2023-02-20
8ecea807-48ab-47cf-91e4-3225f3c6df74,62,397.11,Utilities,2023-10-20
15ea1d46-ad2c-4f15-9fd8-d3352a57c597,71,1383.82,Travel,2023-07-06
1840385e-ffdb-4f3a-83fe-37b95d772767,27,1493.88,Travel,2023-08-27
97e76e5c-005f-4a76-91f1-7acf1b381c47,21,258.89,Travel,2023-06-01
a1f07899-e9df-49c0-ba9b-f96b18275df8,19,966.96,Travel,2023-06-28
2b434bfc-465a-46f8-901a-5ba78d76e4d7,22,472.66,Groceries,2023-11-01
2d9cca26-a0ab-4a5e-84fe-7c0533c71b3c,88,260.05,Groceries,2023-11-04
533aed6e-10b2-4b97-b5fd-8f5566db536c,14,335.19,Groceries,2023-03-19
37b58b91-f8b9-47d6-9686-e7aebeb61e52,37,254.51,Dining,2023-10-28
73b9e56d-7569-4c10-a0e5-5c128e5988c1,38,458.3,Entertainment,2023-02-23
8bdf64cb-008d-463c-9c8d-9256afa6cd9c,2,101.41,Retail,2023-08-21
8a519f02-041f-4fe0-a80a-ff35da055be2,33,1580.84,Travel,2023-03-15
956da7fb-b78b-4bc1-8e14-1267f66b0ba3,51,228.45,Retail,2023-04-07
235bdc39-cf0f-4cde-8599-de03a691e4cf,26,317.99,Utilities,2023-07-25
ea7e462e-d1bf-43fd-a5a0-7d2515c54611,25,389.92,Utilities,2023-02-10
b288925e-70d3-4f6a-a0f5-dd980c8f0893,20,94.93,Retail,2023-07-27
d42cb4d7-6e0d-4d0c-b1e7-6bde1d42baf9,2,1937.47,Travel,2023-12-20
1cdce376-ef02-4cba-af08-979e0ea6bfb2,18,143.04,Utilities,2023-12-29
50b5d7df-a2fd-4fac-b2fa-54a40f97870e,85,384.1,Retail,2023-09-29
a973ebda-d56b-441a-9a07-eae41c197b16,25,359.19,Dining,2023-04-12
f6041a8c-084c-4450-8394-49d1a2e8923b,25,326.37,Retail,2023-01-29
863498aa-bbbf-421f-ae47-2694f95bdcc9,93,53.37,Dining,2023-08-18
a918f2af-ae35-4b3d-b09e-162246289462,98,130.19,Retail,2023-05-02
c6a0a2fa-8241-474b-8380-71b7c5ea79b0,39,293.52,Utilities,2023-02-22
304bfbf7-9ca8-49a6-abbe-ed0f422560ef,4,479.38,Groceries,2023-10-01
c0775a59-cfd6-4e7d-8779-8f1343566dce,60,91.38,Retail,2023-02-21
490bf765-c233-4aa2-ae5b-36b37227fd53,24,180.55,Retail,2023-02-13
c1c17ac2-e490-4e33-91e5-66f5a4040ebd,86,111.15,Dining,2023-06-03
fa6a4510-c65f-43f9-a4ad-a6403a147b91,74,432.38,Utilities,2023-05-07
1f5fa486-eca1-43a6-a7b0-c507705ddda8,94,167.69,Dining,2023-03-01
fa0c21dd-029e-4dff-be3d-42f77caadbba,59,101.25,Travel,2023-01-12
54180782-94d1-4adf-be49-efa892e60db1,7,454.39,Dining,2023-08-24
8c9b7769-1de5-45e3-bffe-e04d1b672d76,38,457.16,Dining,2023-04-29
ecfa2d11-fc86-43bb-be75-26e7f2ef0a80,41,438.44,Utilities,2023-01-25
d0a296d7-f3c8-4eb2-b73d-e39d6e594cbc,70,315.39,Entertainment,2023-09-06
c97b1725-65b4-43a7-83ab-26e2edb0d6f3,38,77.16,Entertainment,2023-11-27
d419498b-775f-465a-944b-4c70ef0476bd,29,235.88,Entertainment,2023-08-22
238fc6c5-0ecb-4f43-bd59-9e4d02e62340,32,348.6,Utilities,2023-09-22
6aa16523-e019-4bd7-a4c7-dd7f077c2190,71,87.15,Utilities,2023-09-08
b02c120c-cd28-4bf1-be6e-1f2758909288,45,1088.25,Travel,2023-10-10
5c84e965-0140-4d6e-8031-43da4782242c,33,20.11,Retail,2023-05-01
06f52e06-05a1-4ee1-9ff1-80bf0a73338c,16,444.08,Travel,2023-03-11
6c1e837b-a446-4ef4-b003-0d4f8f2e50ea,67,151.05,Retail,2023-08-21
e4894eed-05ad-4c4d-9044-c8e23893653d,92,284.46,Groceries,2023-09-07
2e634195-b130-42b7-996a-5902c16660d1,92,434.78,Utilities,2023-03-26
5edf781f-1888-469c-98e8-8c1eeb94efae,78,1656.86,Travel,2023-01-12
db4ee797-bc9f-4fe0-9bc5-0d1f7aefacc7,38,287.17,Retail,2023-05-21
c638448c-5f57-4665-9fc3-9afc39f40e9e,71,206.95,Groceries,2023-12-30
a4471aeb-5bff-4838-91d9-be320b9cddaa,9,410.63,Groceries,2023-01-22
fd8f0300-6054-47b4-9f55-cc45235fd676,35,1155.46,Travel,2023-07-26
9bbdf01a-9791-4d29-9b49-d8afb3943735,29,57.34,Utilities,2023-09-14
d3af2324-7fa8-4bf2-b553-4a1d0b5e82de,54,254.02,Travel,2023-09-02
02d2d097-f32c-46d3-998f-e297ce5c9029,99,431.4,Utilities,2023-04-11
4bdfeec4-bc4c-46fa-a33a-78d0c01bb66c,65,254.31,Retail,2023-04-22
9523ebdd-8cee-4984-a705-feb82256e355,18,162.71,Retail,2023-07-21
087067d4-f7dd-44ff-a412-4a73a675dea9,82,776.8,Travel,2023-04-09
23ffe7af-2cff-4e3a-aa03-5fed0e0837c7,93,1758.52,Travel,2023-01-22
ba899035-7129-402b-95ff-e0ec3ec9f3a9,11,319.43,Retail,2023-11-20
af1d14b5-4cea-4fb7-a103-3a226f6675e5,18,459.79,Groceries,2023-09-10
7be54de5-3cb9-46be-bcff-6ee2083e26ae,64,113.14,Utilities,2023-03-13
ae0dd396-109b-4564-8692-d3f30171fcb3,5,183.96,Retail,2023-03-16
37ff8680-3d27-4f74-a549-f3d9168252a0,66,483.91,Retail,2023-02-13
cbe81f47-5dfa-4d83-86d2-44486987ff68,43,482.57,Entertainment,2023-11-28
bab15104-1bed-41c9-91e0-4f05a57cfa84,70,138.36,Retail,2023-01-12
4a2fbee2-335e-4188-b77b-629844ae61d8,8,440.19,Dining,2023-04-04
a4829e4f-afbb-41ef-b982-992165cdeae5,74,511.16,Travel,2023-03-28
005af378-d0a1-4888-b72f-7021d88ea3e2,58,479.37,Dining,2023-11-17
6f5f4f77-f4c4-421b-b9eb-113d993cbd9e,48,75.41,Retail,2023-01-17
8c1ed87b-c943-42f7-b614-f5fa625e30e3,45,149.4,Groceries,2023-10-22
1fef8245-32c5-4b0c-ac8a-a7f0133e80e5,74,420.37,Retail,2023-09-03
ee571ee8-a736-4084-858e-c133001c778c,84,434.59,Entertainment,2023-07-16
c8a345f2-460d-4b84-b4c8-05ad36ccb298,69,165.61,Utilities,2023-05-19
b29c6653-9a51-4c8d-83e3-30a6ea183294,43,470.15,Retail,2023-05-16
c1660289-7489-498c-a779-d9091ed47f34,61,123.01,Retail,2023-03-03
7c495d0b-9501-4d9a-b0f2-f03723283f9c,39,68.27,Retail,2023-12-06
9bec54ea-bd03-4949-8e54-568183d5652d,21,253.07,Entertainment,2023-08-30
6d4d0cfe-c802-45ff-b368-784d0ebf33f8,83,203.2,Travel,2023-11-25
6085cd82-ea11-4090-8497-e693fd35da6e,65,1797.04,Travel,2023-05-27
122b7ced-db4f-49fd-9c4d-ee8bd1358305,2,267.49,Groceries,2023-02-01
e4feab15-87a1-4f0a-9d2c-1497e9da181b,44,439.17,Groceries,2023-11-12
a0e1df54-334d-4089-99c0-34b37147e638,43,333.83,Dining,2023-08-05
c6e130c8-45d5-440a-a15b-f83045f49966,73,307.85,Utilities,2023-04-01
137bf5e5-c41c-4a52-8959-6f9b9ceffa14,7,367.65,Retail,2023-07-11
831796ec-eaef-40ed-a355-97812fc583c8,28,278.61,Retail,2023-03-28
a3a45c95-75b2-40c3-ade6-5b414f331cd6,79,385.51,Retail,2023-01-14
a22621ff-63a7-4b3a-ab1c-66fc2ede8ed2,82,398.45,Groceries,2023-04-03
922bea05-333e-4321-870a-0578bb3211fc,47,211.79,Retail,2023-11-01
3e2aa0ce-03dd-4683-a749-405907b27518,98,420.8,Retail,2023-10-29
aee7d019-f18a-462e-b66a-efdc3c5c2914,1,455.83,Retail,2023-07-11
97f0ab1d-eeed-4004-b811-79d12c19fe5b,41,57.31,Entertainment,2023-02-07
a2189c89-07cc-4156-b67d-f75504070026,27,283.5,Dining,2023-04-24
2b7b28c9-b409-465d-b9f2-6847c567ae08,31,183.51,Groceries,2023-11-11
9cc54c90-a017-471f-8196-e510264e0064,20,498.01,Groceries,2023-05-30
2f16b9c5-f46f-4670-a145-7a9e573d06a6,90,232.13,Utilities,2023-08-07
8ae88be0-918a-4fdf-a777-034570773e99,95,252.77,Retail,2023-05-14
21326ef6-012a-47ad-83a5-84fe7aa9d9ce,2,1199.94,Travel,2023-06-25
513bb981-e9ae-465a-bb7f-c0181cbdbf01,74,210.67,Retail,2023-02-28
